response_id,class,response_text,text_token
response_23,1,gone depression anxiety understand struggles personal methods cope stuff hits knowledge allowed help several people internet well friends faced similar issues talk understand important listening offer experiences help get face,"['gone', 'depression', 'anxiety', 'understand', 'struggles', 'personal', 'methods', 'cope', 'stuff', 'hits', 'knowledge', 'allowed', 'help', 'several', 'people', 'internet', 'well', 'friends', 'faced', 'similar', 'issues', 'talk', 'understand', 'important', 'listening', 'offer', 'experiences', 'help', 'get', 'face']"
response_24,0,sometimes friends bring issues feel give good advice make feel adequate normal try kind helpful honest,"['sometimes', 'friends', 'bring', 'issues', 'feel', 'give', 'good', 'advice', 'make', 'feel', 'adequate', 'normal', 'try', 'kind', 'helpful', 'honest']"
response_25,0,never guess people dont see guy would,"['never', 'guess', 'people', 'dont', 'see', 'guy', 'would', 'go']"
response_26,1,last year best friend diagnosed anxiety disorder depression tried commit suicide tried best entire time throughout recovery,"['last', 'year', 'best', 'friend', 'diagnosed', 'anxiety', 'disorder', 'depression', 'tried', 'commit', 'suicide', 'tried', 'best', 'entire', 'time', 'throughout', 'recovery']"
response_27,1,cleaning friend campsite slightly helping living summer alcoholic hood woods,"['cleaning', 'friend', 'campsite', 'slightly', 'helping', 'living', 'summer', 'alcoholic', 'mt', 'hood', 'woods']"
response_28,0,listen pretty damn well better apposed telling story,"['listen', 'pretty', 'damn', 'well', 'better', 'apposed', 'telling', 'story']"
response_29,1,helping friend dealing alcoholic mother,"['helping', 'friend', 'dealing', 'alcoholic', 'mother']"
response_30,0,used tutor homeless men shelter help obtain ged age even reading first grade level,"['used', 'tutor', 'homeless', 'men', 'shelter', 'help', 'obtain', 'ged', 'age', '50', 'even', 'reading', 'first', 'grade', 'level']"
response_31,0,high school teacher almost everyday,"['high', 'school', 'teacher', 'almost', 'everyday']"
response_32,0,friends often come talk issues facing life,"['friends', 'often', 'come', 'talk', 'issues', 'facing', 'life']"
response_33,0,summer camp countless kids issue tell cant listen restless,"['summer', 'camp', 'countless', 'kids', 'issue', 'tell', 'cant', 'listen', 'restless']"
response_34,0,haha eight grade kid got rejected twice wanted sign yearbook nervous told really care rejecting thinks less probably comes top head,"['haha', 'eight', 'grade', 'kid', 'got', 'rejected', 'twice', 'wanted', 'sign', 'yearbook', 'nervous', 'told', 'really', 'care', 'rejecting', 'thinks', 'less', 'probably', 'comes', 'top', 'head']"
response_35,0,specific example letting people know want talk,"['specific', 'example', 'letting', 'people', 'know', 'want', 'talk']"
response_36,0,friends gone type struggle let know could talk anything honest even truth hurts best way start get back,"['friends', 'gone', 'type', 'struggle', 'let', 'know', 'could', 'talk', 'anything', 'honest', 'even', 'truth', 'hurts', 'best', 'way', 'start', 'get', 'back']"
response_37,1,friend big addiction issues ended completely isolated skipped school low self esteem convinced see doc together promised would everything went rehab months clean complete lack support family school changed think late helped like months never,"['friend', 'big', 'addiction', 'issues', 'ended', 'completely', 'isolated', 'skipped', 'school', 'low', 'self', 'esteem', 'convinced', 'go', 'see', 'doc', 'together', 'promised', 'would', 'go', 'everything', 'went', 'rehab', 'months', 'clean', 'complete', 'lack', 'support', 'family', 'school', 'changed', 'think', 'late', 'helped', 'like', '5', 'months', 'never']"
response_38,0,always good listener people think lot people want heard necessarily fixed need express relief thoughts others trapped much within confines head always lent ear someone speak,"['always', 'good', 'listener', 'people', 'think', 'lot', 'people', 'want', 'heard', 'necessarily', 'fixed', 'need', 'express', 'relief', 'thoughts', 'others', 'trapped', 'much', 'within', 'confines', 'head', 'always', 'lent', 'ear', 'someone', 'speak']"
response_39,1,one best friends diagnosed cancer much could time visited almost every day treatment alone anything came back school helped get caught school work,"['one', 'best', 'friends', 'diagnosed', 'cancer', 'much', 'could', 'time', 'visited', 'almost', 'every', 'day', 'treatment', 'alone', 'anything', 'came', 'back', 'school', 'helped', 'get', 'caught', 'school', 'work']"
response_40,0,think qualified serious resource someone else,"['think', 'qualified', 'serious', 'resource', 'someone', 'else']"
response_41,1,many times one friend tried hard drugs cocaine dealing depression girls,"['many', 'times', 'one', 'friend', 'tried', 'hard', 'drugs', 'cocaine', 'dealing', 'depression', 'girls']"
response_42,0,lot friends girl problems dumps life always try look positive side life try reflect friends lives well,"['lot', 'friends', 'girl', 'problems', 'dumps', 'life', 'always', 'try', 'look', 'positive', 'side', 'life', 'try', 'reflect', 'friends', 'lives', 'well']"
response_43,0,theripist friends always come,"['theripist', 'friends', 'always', 'come']"
response_44,0,describe nah,"['describe', 'nah']"
response_45,0,brother went struggles found help able set path healing,"['brother', 'went', 'struggles', 'found', 'help', 'able', 'set', 'path', 'healing']"
response_46,0,friend got dumped girl relationship years stayed side stopped feeling bad,"['friend', 'got', 'dumped', 'girl', 'relationship', '2', 'years', 'stayed', 'side', 'stopped', 'feeling', 'bad']"
response_47,0,open friend need emotional support,"['open', 'friend', 'need', 'emotional', 'support']"
response_48,0,help lot shit lot shit,"['gf', 'help', 'lot', 'shit', 'lot', 'shit']"
response_49,1,friend would girls get super depressed told going kill one night drove hour half look cops already taken hospital friend went hung also help try talk another person hadnt friends years cause stuff called blue thankgiving last year called back got hospital number knew something ended kid friends years huge douche psych ward trying kill got hold talked whenever would call would answer even though still shit years earlier mind people might want around situation like people goal purpose life sustained survival help make peoples lives little bit better make people laugh sad help people nobody else basically treat humans even strangers respect kindness friend people need sometime let people talk shit offer helpful advice still swimming shit enough keep going keep little light end tunnel switched idk long last till flickers,"['friend', 'would', 'go', 'girls', 'get', 'super', 'depressed', 'told', 'going', 'kill', 'one', 'night', 'drove', '1n', 'hour', 'half', 'go', 'look', 'cops', 'already', 'taken', 'hospital', 'friend', 'went', 'hung', 'also', 'help', 'try', 'talk', 'another', 'person', 'hadnt', 'friends', 'years', 'cause', 'stuff', 'called', 'blue', 'thankgiving', 'last', 'year', 'called', 'back', 'got', 'hospital', 'number', 'knew', 'something', 'ended', 'kid', 'friends', 'years', 'huge', 'douche', 'psych', 'ward', 'trying', 'kill', 'got', 'hold', 'talked', 'whenever', 'would', 'call', 'would', 'answer', 'even', 'though', 'still', 'shit', 'years', 'earlier', 'mind', 'people', 'might', 'want', 'around', 'situation', 'like', 'people', 'goal', 'purpose', 'life', 'sustained', 'survival', 'help', 'make', 'peoples', 'lives', 'little', 'bit', 'better', 'make', 'people', 'laugh', 'sad', 'help', 'people', 'nobody', 'else', 'basically', 'treat', 'humans', 'even', 'strangers', 'respect', 'kindness', 'friend', 'people', 'need', 'sometime', 'let', 'people', 'talk', 'shit', 'offer', 'helpful', 'advice', 'still', 'swimming', 'shit', 'enough', 'keep', 'going', 'keep', 'little', 'light', 'end', 'tunnel', 'switched', 'idk', 'long', 'last', 'till', 'flickers']"
response_50,0,sometimes calm friends bad stuff happens,"['sometimes', 'calm', 'friends', 'bad', 'stuff', 'happens']"
response_51,0,acted resource someone struggling school helped schoolwork,"['acted', 'resource', 'someone', 'struggling', 'school', 'helped', 'schoolwork']"
response_52,1,friend going period intense depression made sure always,"['friend', 'going', 'period', 'intense', 'depression', 'made', 'sure', 'always']"
response_53,0,talked though major blows girlfriends life tough times helped,"['talked', 'though', 'major', 'blows', 'girlfriends', 'life', 'tough', 'times', 'helped']"
response_54,0,talking friend break,"['talking', 'friend', 'break']"
response_55,0,care people listen help tough times,"['care', 'people', 'listen', 'help', 'tough', 'times']"
response_56,0,internet lot people write talk problems often girl related dont know guess nice rant someone dont know irl someone look situation little bit objective think lot guys also feel hard talk girl friends irl innermost feelings sometimes thats feeling get least friend jokingly refers agony aunt,"['internet', 'lot', 'people', 'write', 'talk', 'problems', 'often', 'girl', 'related', 'dont', 'know', 'guess', 'nice', 'rant', 'someone', 'dont', 'know', 'irl', 'someone', 'look', 'situation', 'little', 'bit', 'objective', 'think', 'lot', 'guys', 'also', 'feel', 'hard', 'talk', 'girl', 'friends', 'irl', 'innermost', 'feelings', 'sometimes', 'thats', 'feeling', 'get', 'least', 'friend', 'jokingly', 'refers', 'agony', 'aunt']"
response_57,0,friends sometimes come ask advice try give best possibly,"['friends', 'sometimes', 'come', 'ask', 'advice', 'try', 'give', 'best', 'possibly']"
response_58,1,friend dealt anxiety desire everything life perfect describes caring happens much either way simply talked would try change subject would drag back due fact want talk reality get better unless pulled back helped helped basically talking giving advice needed hear one wanted blow said along lines blunt many may find rude essential making progress friend dealt anxiety desire everything life perfect describes caring happens much either way simply talked,"['friend', 'dealt', 'anxiety', 'desire', 'everything', 'life', 'perfect', 'describes', 'caring', 'happens', 'much', 'either', 'way', 'simply', 'talked', 'would', 'try', 'change', 'subject', 'would', 'drag', 'back', 'due', 'fact', 'want', 'talk', 'reality', 'get', 'better', 'unless', 'pulled', 'back', 'helped', 'helped', 'basically', 'talking', 'giving', 'advice', 'needed', 'hear', 'one', 'wanted', 'oh', 'ok', 'blow', 'said', 'along', 'lines', 'blunt', 'many', 'may', 'find', 'rude', 'essential', 'making', 'progress', 'friend', 'dealt', 'anxiety', 'desire', 'everything', 'life', 'perfect', 'describes', 'caring', 'happens', 'much', 'either', 'way', 'simply', 'talked']"
response_59,0,simply friend somebody struggling,"['simply', 'friend', 'somebody', 'struggling']"
response_60,1,friends come saying people acquaintances known killed try find comfort best friend killed junior year high school come hoping find answers peace turmoil,"['friends', 'come', 'saying', 'people', 'acquaintances', 'known', 'killed', 'try', 'find', 'comfort', 'best', 'friend', 'killed', 'junior', 'year', 'high', 'school', 'come', 'hoping', 'find', 'answers', 'peace', 'turmoil']"
response_61,0,people calling talk sense maybe facebook chat,"['people', 'calling', 'talk', 'sense', 'maybe', 'facebook', 'chat']"
response_62,1,self harmed past shared experience friend hopes swaying actions,"['self', 'harmed', 'past', 'shared', 'experience', 'friend', 'hopes', 'swaying', 'actions']"
response_63,0,worked problems friends,"['worked', 'problems', 'friends']"
response_64,0,friend needed help going tough stuff knew needed admit brought initiated talked really helped,"['friend', 'needed', 'help', 'going', 'tough', 'stuff', 'knew', 'needed', 'admit', 'brought', 'initiated', 'talked', 'really', 'helped']"
response_65,1,sister pretty severe issues mental health try needs like think helped,"['sister', 'pretty', 'severe', 'issues', 'mental', 'health', 'try', 'needs', 'like', 'think', 'helped']"
response_66,0,helped friends stuff,"['helped', 'friends', 'stuff']"
response_67,0,helped encourage friend therapy often listened problem let know someone,"['helped', 'encourage', 'friend', 'go', 'therapy', 'often', 'listened', 'problem', 'let', 'know', 'someone']"
response_68,0,really met anyone dealing attention issues chance help unfortunately,"['really', 'met', 'anyone', 'dealing', 'attention', 'issues', 'chance', 'help', 'unfortunately']"
response_69,0,many remember specifically helpful rational possible well listening people need fairly common occurrence,"['many', 'remember', 'specifically', 'helpful', 'rational', 'possible', 'well', 'listening', 'people', 'need', 'fairly', 'common', 'occurrence']"
response_70,0,one friends feeling came talked listened gave input,"['one', 'friends', 'feeling', 'came', 'talked', 'listened', 'gave', 'input']"
response_71,0,never,['never']
response_72,0,tried absolutely horrable way blunt,"['tried', 'absolutely', 'horrable', 'way', 'blunt']"
response_73,1,girlfriend depression anxiety used hold listen told going,"['ex', 'girlfriend', 'depression', 'anxiety', 'used', 'hold', 'listen', 'told', 'going']"
response_74,0,always judge people much listen well time naturally people come problems,"['always', 'judge', 'people', 'much', 'listen', 'well', 'time', 'naturally', 'people', 'come', 'problems']"
response_75,1,grandmother went severe depression shortly difficulties using personal experience relate share used get better helpful comfort,"['grandmother', 'went', 'severe', 'depression', 'shortly', 'difficulties', 'using', 'personal', 'experience', 'relate', 'share', 'used', 'get', 'better', 'helpful', 'comfort']"
response_76,0,although even like extremely open sharing experience others helping friends going similar situations please questions situation hesitate email open book excited see many people going help,"['although', 'even', 'like', 'extremely', 'open', 'sharing', 'experience', 'others', 'helping', 'friends', 'going', 'similar', 'situations', 'please', 'questions', 'situation', 'hesitate', 'email', 'open', 'book', 'excited', 'see', 'many', 'people', 'going', 'help']"
response_77,1,best friends mom past away ing grade,"['best', 'friends', 'mom', 'past', 'away', 'od', 'ing', 'grade', '5']"
response_78,0,camp counselor provide stability kids lives may troubled home situations,"['camp', 'counselor', 'provide', 'stability', 'kids', 'lives', 'may', 'troubled', 'home', 'situations']"
response_79,1,girlfriend used serious addiction troubles started dating felt though addiction defined person thought people saw looked addiction spent many nights talking letting vent one people supporting felt though could help spot,"['girlfriend', 'used', 'serious', 'addiction', 'troubles', 'started', 'dating', 'felt', 'though', 'addiction', 'defined', 'person', 'thought', 'people', 'saw', 'looked', 'addiction', 'spent', 'many', 'nights', 'talking', 'letting', 'vent', 'one', 'people', 'supporting', 'felt', 'though', 'could', 'help', 'spot']"
response_80,0,one person ever talked going thing talking together helped important realize alone,"['one', 'person', 'ever', 'talked', 'going', 'thing', 'us', 'talking', 'together', 'helped', 'important', 'realize', 'alone']"
